,Brand,Color_type,Print_type,Prod_spec,Category
109,HP,Color,OfficeJet,N o n e,Printer and Scanner
110,HP,Color,N o n e,N o n e,Printer and Scanner
111,Brother,Color,Inktank,N o n e,Printer and Scanner
112,HP,Color,N o n e,Wireless,Printer and Scanner
113,Canon,Color,InkTank,Wireless,Printer and Scanner
114,Epson,Color,InkTank,N o n e,Printer and Scanner
115,RICHO,Color,N o n e,Wireless,Printer and Scanner
116,HP,Color,N o n e,N o n e,Printer and Scanner
117,HP,Monochrome,N o n e,Wireless,Printer and Scanner
118,HP,Color,DeskJet,Wireless,Printer and Scanner
119,HP,N o n e,N o n e,N o n e,Printer and Scanner
120,HP,Color,OfficeJet,N o n e,Printer and Scanner
121,Epson,Color,N o n e,Wireless,Printer and Scanner
122,Epson,Color,N o n e,N o n e,Printer and Scanner
123,RICHO,Monochrome,N o n e,Wireless,Printer and Scanner
124,HP,Monochrome,N o n e,Wireless,Printer and Scanner
125,HP,Color,N o n e,N o n e,Printer and Scanner
126,HP,Color,LaserJet,N o n e,Printer and Scanner
127,HP,Color,N o n e,N o n e,Printer and Scanner
128,RICHO,Monochrome,N o n e,Wireless,Printer and Scanner
129,HP,Color,N o n e,N o n e,Printer and Scanner
130,HP,Color,LaserJet,N o n e,Printer and Scanner
131,HP,Color,N o n e,N o n e,Printer and Scanner
132,HP,Color,InkTank,N o n e,Printer and Scanner
133,Epson,Color,N o n e,N o n e,Printer and Scanner
134,Goodluck,Color,N o n e,N o n e,Printer and Scanner
135,Canon,Color,Inkjet,Wireless,Printer and Scanner
136,HP,Monochrome,N o n e,Wireless,Printer and Scanner
137,HP,Color,N o n e,N o n e,Printer and Scanner
138,Epson,Color,N o n e,N o n e,Printer and Scanner
139,HP,Monochrome,N o n e,N o n e,Printer and Scanner
140,HP,Color,N o n e,Wireless,Printer and Scanner
141,Canon,Color,N o n e,N o n e,Printer and Scanner
142,Canon,Color,N o n e,N o n e,Printer and Scanner
143,HP,Color,N o n e,Wireless,Printer and Scanner
144,Canon,Color,N o n e,N o n e,Printer and Scanner
145,kantado,Monochrome,LaserJet,N o n e,Printer and Scanner
146,Ricoh,Monochrome,N o n e,N o n e,Printer and Scanner
147,HP,Color,Laser,N o n e,Printer and Scanner
148,HP,Monochrome,N o n e,Wireless,Printer and Scanner
149,HP,Monochrome,LaserJet,Wireless,Printer and Scanner
150,Canon,Color,N o n e,N o n e,Printer and Scanner
151,Goodluck,Color,N o n e,N o n e,Printer and Scanner
152,Goodluck,Color,N o n e,N o n e,Printer and Scanner
153,Goodluck,Color,N o n e,N o n e,Printer and Scanner
154,Goodluck,Color,N o n e,N o n e,Printer and Scanner
155,Epson,Color,N o n e,N o n e,Printer and Scanner
156,Goodluck,Color,N o n e,N o n e,Printer and Scanner
157,Goodluck,Color,N o n e,N o n e,Printer and Scanner
158,Goodluck,Color,N o n e,N o n e,Printer and Scanner
159,Goodluck,Color,N o n e,N o n e,Printer and Scanner
160,Goodluck,Color,N o n e,N o n e,Printer and Scanner
161,Goodluck,Color,N o n e,N o n e,Printer and Scanner
162,Goodluck,Color,N o n e,N o n e,Printer and Scanner
163,Goodluck,Color,N o n e,N o n e,Printer and Scanner
164,Goodluck,Color,N o n e,N o n e,Printer and Scanner
165,Goodluck,Color,N o n e,N o n e,Printer and Scanner
166,Goodluck,Color,N o n e,N o n e,Printer and Scanner
167,HP,Monochrome,DeskJet,Wireless,Printer and Scanner
168,HP,Color,LaserJet,N o n e,Printer and Scanner
169,Canon,Color,N o n e,N o n e,Printer and Scanner
170,HP,Monochrome,N o n e,Wireless,Printer and Scanner
171,Canon,Color,N o n e,N o n e,Printer and Scanner
172,HP,Monochrome,INKTANK,Wireless WIRELESS,Printer and Scanner
173,HP,Color,N o n e,N o n e,Printer and Scanner
174,HP,Monochrome,LaserJet,Wireless,Printer and Scanner
175,HP,Color,N o n e,N o n e,Printer and Scanner
176,WOL3D,Color,N o n e,N o n e,Printer and Scanner
177,Epson,Monochrome,N o n e,Wireless,Printer and Scanner
178,Marvel,Color,N o n e,N o n e,Printer and Scanner
179,HP,Color,Laserjet,Wireless,Printer and Scanner
180,Flashforge,Color,N o n e,N o n e,Printer and Scanner
181,HP,Monochrome,DeskJet,Wireless,Printer and Scanner
182,Epson,Monochrome,InkTank,N o n e,Printer and Scanner
183,HP,Color,N o n e,Wireless,Printer and Scanner
184,Canon,Color,N o n e,Wireless,Printer and Scanner
185,Canon,Color,N o n e,Wireless,Printer and Scanner
