,Brand,Type,Capacity,Connectivity,Category
76,SanDisk,Portable Hard Drive, 250 GB, USB 3.1,HardDisk
77,WD,Desktop Hard Drive, 4 TB, USB 3.0,HardDisk
78,WD,Portable Hard Drive, 4 TB, USB 2.0 USB 3.0,HardDisk
79,WD,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
80,Seagate,Portable Hard Drive, 5 TB, USB 3.0 USB 2.0,HardDisk
81,WD,Portable Hard Drive, 2 TB, USB 3.0 USB 2.0,HardDisk
82,Seagate,Portable Hard Drive, 500 GB, USB 2.0 USB 3.0,HardDisk
83,WD,Portable Hard Drive, 4 TB, USB 3.0 USB 2.0,HardDisk
84,ADATA,Portable Hard Drive, 512 GB, USB 3.1,HardDisk
85,ADATA,Portable Hard Drive, 1 TB, USB 3.1,HardDisk
86,Transcend,Portable Hard Drive, 2 TB, USB 3.0,HardDisk
87,ADATA,Portable Hard Drive, 512 GB, USB 3.1,HardDisk
88,Toshiba,Portable Hard Drive, 2 TB, USB 3.0,HardDisk
89,ADATA,Portable Hard Drive, 1 TB, USB 3.1,HardDisk
90,ADATA,Portable Hard Drive, 256 GB, USB 3.1,HardDisk
91,Sony,Portable Hard Drive, 128 GB, USB 3.0,HardDisk
92,Verbatim,Portable Hard Drive, 1 TB, USB 3.0,HardDisk
93,ADATA,Portable Hard Drive, 1 TB, USB 3.0,HardDisk
94,WESTERN,Portable Hard Drive, 1 TB, USB 3.0,HardDisk
