ProductName , Type , Capacity , Connectivity , Category  
Seagate Backup Plus Slim 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate One Touch 500 GB External Solid State Drive,Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 2.0, USB 3.0,HardDisk,
WD My Passport 2 TB Wired External Solid State Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 3.1, USB 2.0,HardDisk,
Seagate Backup Plus Slim 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
SanDisk 1 TB Wired External Solid State Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.1,HardDisk,
WD My Passport Go 500 GB External Solid State Drive,Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 3.0,HardDisk,
WD 1 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0,HardDisk,
Seagate Backup Plus Portable 4 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate One Touch 500 GB External Solid State Drive,Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 2.0, USB 3.0,HardDisk,
Samsung T5 500 GB External Solid State Drive,Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 3.1,HardDisk,
Toshiba 2 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate One Touch 500 GB External Solid State Drive,Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 2.0, USB 3.0,HardDisk,
Seagate Backup Plus Portable 4 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
ADATA 512 GB External Solid State Drive,Portable Hard Drive,Capacity: 512 GB,Connectivity: USB 3.1,HardDisk,
TCOS Tech Xbox 360 Slim & E 320 GB External Hard Disk Drive,Portable Hard Drive,Capacity: 320 GB,Connectivity: USB 3.0,HardDisk,
Velentron 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Transcend 2TB Portable 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.1,HardDisk,
WD Elements 2.5 inch 2 TB External Hard Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate 5 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 5 TB,Connectivity: USB 3.0,HardDisk,
